linear_regression,lasso_selection,correlation_selection,lasso,splines
-11.036703149976276,-12.660438778301158,-12.665546642250222,-17.832699070515257,-22.121611908969843
-16.926920041273796,-26.799004982333393,-27.01397272163168,-18.528130576772902,-11.608866900837368
-32.797491910834474,-28.173817552948968,-18.250681022537112,-14.354078083137077,-13.781978964857926
-24.37859447554131,-21.588995615704242,-23.14440683974298,-21.29216762294307,-24.42912709261933
-33.40377049608076,-21.288512999189887,-20.139992042489283,-21.573891967451683,-16.968687061433418
-19.72525648924558,-33.101139208359186,-31.560343284778387,-27.361813138714897,-8.33760054282669
-34.883712431924806,-15.733168372101312,-13.249154674582345,-26.41412158429444,-14.668825989405303
-18.178498621667536,-26.96091357875477,-35.667984847743014,-31.762404535615893,-29.555954975048195
-26.58897831845993,-17.415481459903294,-23.274451115817673,-24.00447571075303,-14.138020051892134
-23.270650591302957,-35.37971029961381,-34.97553184432163,-36.210030247715224,-10.49988574598531
-25.02246262043493,-17.964037502390678,-13.510188730948613,-13.224422850384972,-9.609634208793935
-28.214384050264123,-40.47409896540484,-19.81017622263684,-25.28421991041843,-8.26016198053049
-19.082083994323764,-22.494282226120536,-23.784858879358296,-13.562476796475872,-26.53975622869258
-13.803183975884812,-21.156837589463656,-12.804886241696135,-35.24792700254523,-25.4714224078712
-29.094164199425233,-30.313143134514547,-50.37903716580159,-18.906707954975662,-13.21553330547318
-25.70312184835199,-17.600253516271206,-25.343495500610285,-12.774915886004036,-9.264598022329013
-12.398678365852028,-14.192887857274977,-26.123871072634405,-19.41318341154,-32.64050766926411
-16.632537415580362,-15.64013146587271,-23.067181379648396,-29.242594353690286,-7.76095699861401
-27.92886664524797,-18.671813776096663,-21.4155226077234,-45.84401763411408,-9.239981739541559
-44.986262742418596,-39.149169213514135,-22.972360794056307,-31.14352118903763,-23.540439862167332
-25.279255431970338,-34.298684261006265,-17.312347442219075,-21.640423065663295,-17.7430417145567
-19.455888319729336,-24.394337205235242,-22.73241748506664,-28.4522559097975,-27.520672614559487
-21.69190601876825,-16.062750321885797,-20.280856090194128,-32.611155412631895,-14.853953254125544
-23.899910731153742,-19.91849610700198,-23.91756834253156,-38.784602430456,-12.491611556378777
