linear_regression,lasso_selection,correlation_selection,lasso,splines
-3.1519314989195006,-3.276614546611723,-16.647582286309753,-4.525052159683701,-1.3349047538595036
-3.8279265769970303,-3.6365217313235094,-14.95668992927955,-4.073141397177988,-1.4697569311025533
-4.072482936481774,-4.12786802422158,-14.912236674200047,-3.8908093973362825,-1.4313858747606565
-3.7731999896651742,-4.073045334980234,-14.02914941683249,-3.899664187026283,-1.549350526421641
-4.118796023549061,-3.863219513017045,-19.482110954512418,-3.997970762572921,-1.3133741569814197
-3.447613438788453,-3.497919056271725,-14.219510360711949,-3.6567519557584647,-1.4543158250238106
-4.132870606096854,-3.963561978646606,-15.409930973321801,-3.747201363170767,-1.3864126345199554
-4.1316494643540915,-4.1492263378200365,-15.694570081711921,-3.2862436224344154,-1.4473137067875177
-4.456605312709138,-4.2865167013215615,-15.498132079531281,-4.2366595237398155,-1.5601491889167887
-3.9110821677013745,-4.161150956853034,-13.274439804094497,-3.7978995801997466,-1.3056687795202098
-4.247747057691871,-4.63598225409962,-17.901994349645168,-2.9124342639771315,-1.507710595208136
-3.5743494621351672,-3.4158825830954487,-13.684988421186263,-4.0709390590672205,-1.2283078564180328
-3.392793659702387,-3.9125117759955064,-14.349988884611456,-3.738141379913061,-1.2862233537227152
-4.014839789293563,-3.9375931214685855,-18.21809082144708,-3.845454660502428,-1.5416686728923699
-3.7866190977431033,-3.7824193000728172,-17.099326903150317,-4.024603844694094,-1.5332300655884754
-3.630112051935374,-3.9556889780616356,-14.254089318115312,-3.8471495478318913,-1.3281165720650712
-4.136214897757264,-4.405243058934113,-15.188912160884666,-3.906084978541794,-1.5984517932680702
-3.687003441105025,-3.813614030660607,-14.849309017781733,-4.0934125356963476,-1.4466581147195212
-4.491497013149527,-3.6809093320122646,-13.695884887049342,-4.594556294223261,-1.3995620083269182
-4.056385463877814,-3.4009645324512565,-15.174812723761306,-3.862551645787992,-1.4333798046991266
-4.122224679496412,-3.8511164323789084,-15.8017808642243,-3.6770361656163133,-1.3716741673522328
-3.5380447108853383,-4.394731254470764,-17.845541468999144,-4.247586551806625,-1.7347321949115673
-4.667708323190911,-3.1432202428507705,-16.06762387546282,-3.287777797704738,-1.255626047785421
-3.5199984836116975,-3.8726628457543146,-16.048082552486953,-4.322715652164766,-1.17166270987274
-3.5664053764387553,-4.7970723505971895,-17.781227156076298,-3.5830724264119125,-1.3959344379463887
-3.545805261784007,-3.448543882565404,-14.102291331637554,-4.116438818895508,-1.4935656217183255
-3.8706656277186866,-3.923397224514639,-12.801964991107702,-4.310532294618966,-1.3379349296488918
-4.610969177187432,-4.326540169588457,-12.72621200597973,-3.601214605842605,-1.4887125159281673
-3.433102026400049,-3.251919163717271,-15.565563779310734,-3.9989474596647487,-1.4341209049140948
-4.055548821632705,-4.112087736391917,-15.263982081711415,-3.803424406037318,-1.5462527865881024
-3.4150010461428573,-3.752387723952195,-13.488119753736507,-4.6180485111325895,-1.5135573846924981
